ROUND,TASKS COMPLETED,worker0 tasks,worker1 tasks,worker0 running,worker1 running,
1,0,0,0,1,0,
2,1,1,0,1,1,
3,3,2,1,1,1,
4,5,3,2,1,1,
5,7,4,3,1,1,
6,9,5,4,1,1,
7,11,6,5,1,1,
8,13,7,6,1,1,
9,15,8,7,1,1,
10,17,9,8,1,1,
11,19,10,9,1,1,
12,21,11,10,1,1,
13,23,12,11,1,1,
14,25,13,12,1,1,
15,27,14,13,1,1,
16,29,15,14,1,1,
17,31,16,15,1,1,
18,33,17,16,1,1,
19,35,18,17,1,1,
20,37,19,18,1,1,
21,39,20,19,1,1,
22,41,21,20,1,1,
23,43,22,21,1,1,
24,45,23,22,1,1,
25,47,24,23,1,1,
26,49,25,24,1,1,
27,51,26,25,1,1,
28,53,27,26,1,1,
29,55,28,27,1,1,
30,57,29,28,1,1,
31,59,30,29,1,1,
32,61,31,30,1,1,
33,63,32,31,1,1,
34,65,33,32,1,1,
35,67,34,33,1,1,
36,69,35,34,1,1,
37,71,36,35,1,1,
38,73,37,36,1,1,
39,75,38,37,1,1,
40,77,39,38,1,1,
41,79,40,39,1,1,
42,81,41,40,1,1,
43,83,42,41,1,1,
44,85,43,42,1,1,
45,87,44,43,1,1,
46,89,45,44,1,1,
47,91,46,45,1,1,
48,93,47,46,1,1,
49,95,48,47,1,1,
50,97,49,48,1,1,
51,99,50,49,1,1,
52,101,51,50,1,1,
53,103,52,51,1,1,
54,105,53,52,1,1,
55,107,54,53,1,1,
56,109,55,54,1,1,
57,111,56,55,1,1,
58,113,57,56,1,1,
59,115,58,57,1,1,
60,117,59,58,1,1,
61,119,60,59,1,1,
62,121,61,60,1,1,
63,123,62,61,1,1,
64,124,63,61,1,0,
65,124,63,61,0,0,
66,124,63,61,0,1,
67,125,63,62,0,1,
68,127,64,63,1,1,
69,129,65,64,1,1,
70,131,66,65,1,1,
71,133,67,66,1,1,
72,135,68,67,1,1,
73,137,69,68,1,1,
74,139,70,69,1,1,
75,141,71,70,1,1,
76,143,72,71,1,1,
77,145,73,72,1,1,
78,147,74,73,1,1,
79,149,75,74,1,1,
80,151,76,75,1,1,
81,153,77,76,1,1,
82,155,78,77,1,1,
83,157,79,78,1,1,
84,159,80,79,1,1,
85,161,81,80,1,1,
86,163,82,81,1,1,
87,165,83,82,1,1,
88,167,84,83,1,1,
89,169,85,84,1,1,
90,171,86,85,1,1,
91,173,87,86,1,1,
92,175,88,87,1,1,
93,177,89,88,1,1,
94,179,90,89,1,1,
95,181,91,90,1,1,
96,183,92,91,1,1,
97,185,93,92,1,1,
98,187,94,93,1,1,
99,189,95,94,1,1,
100,191,96,95,1,1,
101,193,97,96,1,1,
102,195,98,97,1,1,
103,197,99,98,1,1,
104,199,100,99,1,1,
105,201,101,100,1,1,
106,203,102,101,1,1,
107,205,103,102,1,1,
108,207,104,103,1,1,
109,209,105,104,1,1,
110,211,106,105,1,1,
111,213,107,106,1,1,
112,215,108,107,1,1,
113,217,109,108,1,1,
114,219,110,109,1,1,
115,221,111,110,1,1,
116,223,112,111,1,1,
